,comment
3465,"*Suggestion based on the variables from the 1st example* 

GRID: 28×28-----SO HAS AN 'AREA' / AMOUNT OF INPUTS OF 784

SO A COORDINATE SYSTEM (WHICH WOULD HAVE ONLY POSITIVE VALUES) WOULD BE THE PREMISE

HOW IT WOULD WORK:  THERE ARE 28 HORIZONTAL ROWS AND 28 VERTICAL COLUMNS, THE SYSTEM WOULD RUN THROUGH THE INPUTS AND TAKE ALL VALUES (COORDINATES) THEN WOULD SEE HOW MANY ''SQAURES'' THERE IS PER HORIZONTAL LINE RELATIBE TO THE COLUMN AND VICE VERSA.
e.g IF I HAD THE NUMBER 1, THE SYTEM WOULD SEE THAT IN ONE OF THE VERTICAL COLUMS THERE ARE MANY ""SQUARES"" GOING DOWN THE COLUMN ON SUCCESSION, THEN WOULD DO THE SAME AND WOULD FIND THAT PERTRUDING FROM THE TOP COORDINATE (""SQUARE"") IS A HORIZONTAL LINE WITH SQUARES GOING ALONG IN SUCCESSION.

YOU CAN SEE WHERE IM GOING WITH THIS.

THERE COULD BE PRIOR KNOWLEDGE YOU COULD FOR THE CHARACTERISTICS OF EACH NUMBER SO FOR THE ""1"" EXAMPLE YOU GOOD WRITE SOME CODE SAYING THAT THE VERTICAL LINE HAS BIGGER ""DISTANCE"" THAN THE HORIZONTAL ONE AND USE THE NETWORK COULD USE THIS TO ELIMANTE OR FACTOR IN THAT THE INPUT COULD BE ONE. 

I HOPE YOU UNDERSTOOD MY THINKING, I THOUGHT THIS A GOOD ALTERNATIVE :)

SORRY FOR ALL CAPS 
ITS FLAWED BUT HAY HO
AND MERRY CHRISTMAS WEIRDO WHO READ ALL OF THIS 
AND I LOVE LASAGNA!"
3466,But one of those three looks like a Chinese 了.
3467,"i feel like i am learning so much, but i dont know if i actually am or am not....(not a software person) ....but i am totally addicted to the videos...even if i dont get it totally i have to watch it!"
3468,Thank you!
3469,"Does that mean that, when a network like this is scanning an image that’s 1920x1080, there are about 2 million neurons to recognize it?"
3470,"After watching CPG Grey’s latest video You Tube’s adorkable bot suggested your video, and I’m glad it did. :)"
3471,Really good to see you guys put so much effort for us to understanding Neural Networks in a better way :)
3472,you teach very well !!! :D
3473,No one explained deep learning too me like you this video. Ive found it as a part of Jasons Machine Learning google slides project. Awesome channel!
3474,"So it has been a few days now and I seem to have fallen into this rabbit hole. Many thanks for this video series, it and the wonderful book by Michael Nielsen have sent me off on a rampage of coding and trying to learn all the math to start digging into what makes this tick. Its usually quite hard for me to self motivate, but man is this topic and immensely engrossing one.
Hugely recommend to anyone with any coding experience and the willingness to sit down and work through the math over and over. It will take you a couple of days before you really start understanding the nitty gritty, but man... The payoff is just so worth it."
3475,Ah it is starting to make a lot more sense... thanks for the video!
3476,So easy to understand your tutorial. Thanks.
3477,cgp grey
3478,someone help her with her vocal fry at the end
3479,*whistles* the vocal fry on your guest was something else
3480,"I mean, you're simply great! Thank you so so much!!!"
3481,"Could you please summarize the neural network algorithms?
 e.g. Summed input(just for example) etc."
3482,the best tutorial ever seen
3483,sigmoids take a TON of resources to calculate. Is there a simpler way? (eg: use a line and clamp the domain)
3484,This video should win some kind of reward. It's so good.
3485,You are actually amazing. THANK YOU!!!
3486,So apple used neural networks back on the 90s? Apple Edison recognised letters and numbers just by writing at the touchscreen
3487,"Awesome video, I binge watched chapter 1, 2 and 3. It really helped me! Just for my understanding, at 14:40 when you show the matrix form, shouldn't the biais be indexed from 0 to k ? If I understand well you have k nodes in the a(1) layer and n nodes in the a(0) layer. Is my understanding correct?

Thanks"
3488,Did they used this on brain age DS?
3489,"What an elegant way to explain a topic. Thank you very much for making these videos. Looking forward to watching many more videos from your channel, I am a new fan!"
3490,Comment for the algorithms.
3491,i love you
3492,"Hat -  is off. 
Subscribed and Thank you!"
3493,"I came here from cgp grey's video and I just want to say, YOU.ARE.AMAZING.3b1b is literally the best youtube channel there is and probably ever will be.If 3b1b becomes mainstream(like vsauce or cgp grey), I kid you not, the world will become a vastly smarter place.
Thank you so much for this video.I watched the bitcoin video too and instantly subscribed and pressed the bell icon.Really proud to be a part of your notification squad!"
3494,I only saw boobs no 3. WTF is wrong with me?!?!
3495,"OMG I'm in love! I've been reading about conectionism and neural networks in language acquisition and development studies, and your video is AMAZING to clear many points in that topic. Thanks so much and great work!"
3496,why oh why do ppl think that red and green are the most contrasting colours? for everyone...
3497,"""Squishification function"" Love it!"
3498,"Thats an amazing video keep making more , thank you ."
3499,holy shit this is significantly better than cgp's video
3500,"A really good video, but could you stay away from using the specific combination of red and green to represent stuff?  For those of us who are red-green colorblind, it's really hard to tell the difference between them.
Thanks!"
3501,What a ride
3502,"This topic seemed to me so complicated because the videos I saw before where a) not understandable for me because to technical or b) to surfacely so that I didn't understand the deeper concept of a neural network. This video is very good at visualizing and explaining the things without being too surface or too technical , thank you😀"
3503,Yes!!! Thanks mate
3504,Dude omg I swear I recognize you voice. Do you or did you ever teach a class in BMCC on calculus? Please answer!!!
3505,Aw man I don't understand a thing
3506,squishification-function. I love that!
3507,7:47 how to train your network
3508,Best explanation ever.
3509,"The Python snippet (I'm not too good with Python yet) calls a function: zip(self.biases, self.weights).  Where are these biases and weights coming from?  Were they computed by ""training"" and/or by hand, then persisted and fed as input?"
3510,"딥 러닝에 대해서 알고 싶었는데, 개념이 어려워서... 개념설명이 쉽게 되어 있는 걸 찾고 있었는데 딱이네요 너무 감사합니다!
Hey I really wanted to know about deep learning... but couldn't find proper source for learning the concept! but thank you so much for the vivid clarity of explaination!"
3511,What program or application could I use to make my own networks from grids? Is there some way I could use Microsoft excel
3512,"Woaw, just woaw. This is the most amazing and educational video content I've ever come across. I thank you sincerely! The way you visualize and explain really makes it a lot easier to actually understand. How are you making the visuals btw? Thank you again. -Fred"
3513,"When dealing with images, i think that reducing its ""data"" to a minimal amount is better. Like the lines of an image. Without colors or without useless informations like black pixels in this video. It's far more than just taking all pixels. Tho, it was very educative and clear. Good video :)"
3514,"Excellent video! thank you! It remind me a quote that is like this ""I can understand everything if you find a way to explain it"" ... or in other words, to ignite enough neurons in my brain in order to return a valid result in the final layer :) !!"
3515,You're doing fantastic work!
3516,"Sometimes, when I watch one of your videos, I like it so much that I would like to be able to do something that meant more than giving you a like. I like some of your videos so much that a like isn't enough."
3517,"I honestly find it way easier to approach neural nets by examining the universal approximation theorem.  Then, anyone who's familiar with linear algebra will understand why neural nets work - they're just nested linear combinations of basis functions.  It's a lot easier to think in terms of vectors than exhaustively enumerating all the different combinations of pixel activations that might indicate something's a 3.  What each layer is doing is still understandable in this language - first layer id's edges, the second patterns in the edges, etc etc - but it's just way simpler to think about.  I was getting excited around 15:30, thinking you'd take this non-mainstream approach to explain it.

That said, your videos are absolutely amazing.  Definitely going to be sharing them with friends and colleagues!"
3518,"17:44
Her voice constantly gets deeper and never stops"
3519,I dont under stand!
3520,"Incidentally, concerning the biases, most networks I’ve seen include a special “bias neuron” in each layer, disconnected from the one before it, with a preadded value of 1, and the weights of its connections to the other neurons are the biases. Just adding that, since you didn’t note it."
3521,"Why is there a need for hidden layers? Wouldn't this just result in more variables to change because it has to back propogate all of the layer? Does it provide the system with more efficiency, and if so how?"
3522,"Im delighted by your  visualisation, how have do done it? :D"
3523,Reaaaaally great video.... Love it !
3524,am new to the NN field ... honestly this is the most explanatory lecture i stumbled upon !
3525,Best video ever.
3526,This pisses me off because I'm a computer science student and I *know* I am going to get an assignment like this in the distant future
3527,"Are there ReLU functions that capture some curvature?  A linear function is limiting (no?) but granting value to the function for inputs <0 is problematic for other reasons, I would think.  Or is its rate of learning all that really matters in this context?"
3528,"Did you say ""squishification function""?  I need to use that when describing utility functions that also map into the unit interval.  Great video, by the way."
3529,"Problems:
- I don't see any reason why the scond-layer-neurons need to be connected to all 784 primary neurons. (only the surrounding ones will do)
- How do you let it recognize a 7 that's further down or turned a little (a human could do this easily)."
3530,"Really excited at finding your channel.
Hopeful about washing my(and my college's) old sin of not understanding Linear Algebra when it was taught in first year."
3531,Solid introduction to a complex topic!
3532,*+(b0 b1 ... bk)
3533,Very interesting thanks
3534,This is just so cool and clearly explained. Thanks and keep it up!
3535,Your 'so called' intuitive explanation is more confusing than a rigorous manual or book.
3536,"Great video.
Its easy to follow, and the graphics help illustrate each point."
3537,"I imagine ReLU is easier to compute in practice than sigmoid as well - just a max on a float, rather than a division and exponentiation."
3538,"Damn, after watching this video I just can't stop thinking of how fucking awesome and exaggeratedly fast our brain is."
3539,I'm glad I'm going to die in the next few decades.
3540,Many thanks. This is AMAZING!!!
3541,Best video found till date on neural network introduction
3542,"You really get it. The math.
Where were you... so many years ago.

Yu did a very good job. But is not clear why the number of layers.
Too many layers is bad, too few is worst. 
I dreamed with autogrowth, couldn't do the math. 

The diagrams were too simple. So I invented ""glia"" as blocks in oposite direction of neurons, feeding from behavior (results, weights) and adjusting synapses. Too many lines, no advantage.
But I could monitor the history of learning, kill and shortcut the lazies, measure exesive stress as indication of lack of abstraction and insert a new neuron. Buh.

You could do the math and make it simple.
While learning, you can graph the weight of each synapse over time. The movement should be smoother with time, meaning a more tuned net. If not, maybe the data is too complex, so you can cut the stressed synapse and insert a new neuron in the neighborhood (automatically... while it is  sleeping ha ha!) and train again.
Ok, the result won't be pure nor symmetrical. 

Decades ago. I can't understand AI today. I can't understand my own diagrams."
3543,So a 'neuron' in computer programming jargon is basically just a placeholder/'pixel'?
3544,I don't get why ReLU is used when at first values between 0 and 1 are what we want but it gives any value fom 0 to infinity
3545,What I'm wondering is if you could make a neural network smart enough to not have middle layers. As in if you could somehow apply the proper weights and biases to go directly from the input to the output without using 2 more functions.
3546,You lost me
3547,Just awesome as a teacher!!!
3548,What a well researched video. Thanks a lot for the effort that has been put in to explain the concepts.
3549,"14:38 In the bias vector, the last sub-index for the B's should be k, not n. (so bias vector would be of size 'k by 1')."
3550,"Well done, thank you..."
3551,Brilliant!
3552,"After reading Francois Chollet's wonderful ""Deep Learning with Python"" and watch these videos, I now have a clear concept how neural network learn. Thank you."
3553,extra terrestrial intelligence detected !!! love your videos <3
3554,Perfect explanation
3555,Boring as hell.
3556,"The problem with this algorithm is that it is quite inefficient. A line segment drawn in one part of the image matrix will be recognised seperatly and independently from the same line segment drawn in another part of the matrix. Moreover, the two dimensional matrix is reduced down to a one dimensional matrix to input data to the network. This means that information regarding how sub-patterns relate to each other in two dimensions is lost. It seems to me that what is needed is a two dimensional predictive system which is able to make predictions about how patterns relate to each other regardless of where those patterns appear in the image matrix."
3557,"1:49 picture is complicated to understand, where can i understand the every line of this picture"
3558,"Also, is this what Nintendo DS implemented years ago?"
3559,But how can you make the detection independent from the location of the pixels? To make the patterns relative instead of absolute
3560,"wow 
I always wanted to get into Neurol Networks but had an blockade and problem to get into it.
Your video was very helpfull for me to understand Neurol Networks better. Thank you. Great work tho"
3561,This guy sounds like cgp grey
3562,Do anyone know what is it that they use to produce this animations?
3563,"Why could you not take the average strength of the pixel  light and create another, lets say 5 connectors, and the ones with the highest average of pixel strength would be the ones that are of the number inputted. You could input the average pixel number range before hand into the program while writing it though??"
3564,"This might be a stupid question, but I thought the point of sigmoid was that it translates a domain of all real numbers to a range between 0 and 1, so how can ReLU be used if it can produce outputs above 1?"
3565,why those hidden layer has 16 knots? Can it be 15 or 17? Thank you please
3566,The visual effect is awesome. What software is used for the presentation?
3567,"obligatory ""what software do you use for your animations?"" comment"
3568,"first layer: input
second layer:organization
other layers: more organization
last layer: output"
3569,13:58 so I understand that we can come up with the vector matrix product that way but how do you define the sigmoid and the bias in that notation?
3570,Very well-made video.
3571,This is so well done that my 6 year old enjoyed watching! It is literally appropriate for all ages and all levels. Fantastic!
3572,How did you make this animation?  it's great
3573,"This is the best Tutorial / Explanation I ever seen in Youtube!

Thank your so much!"
3574,Pleeeeese also make some videos on other machine learning algorithms such as support vector machine!!
3575,In a single word - AWESOME Thanks for this amazing video.
3576,"I am not sure but in the vector notation, shouldnt the bias vector be b1, b2....bk and not bn"
3577,Excellent video!  Very clear explanation and nice visuals.  Subscribed
3578,This should be education ! what a great video
3579,Just blow my mind away
3580,Captions are full of questions.
3581,"I have question, if you take the 784 pixels as the starting neurons why can't you connect each and every neurons directly to the 9 final neurons and do the maths directly ? I don't see the use of the middle layers in the given example."
3582,Thank You! it just clicked!
3583,Oh boy... there are so fucking many interesting things I wish to learn and so little time... LIFE IS GREAT!
3584,Wow this explanation is amazing. Thank you so much.
3585,Great video! I gives a clear understanding of what NNs are and how they work.
3586,This video is  so amazing !!! Let me know the concept of Neural Network in a short time !! Thank you !!!
3587,superb video
3588,"@13:13 lets see how much you like setting the weights and biases when your neural network is ""Hot dog, not a hot dog"""
3589,Muito bom!!! O cara é muito didático e os desenhos ajudam muito
3590,All I could think of is why the little people things look like the symbol for pi
3591,"thank you 3b1b, this is the most thorough explanation i've got without actually taking a class. Before it was just a buzzword but now i have a grip on what it actually is. thank you very much, great explanation and visuals."
3592,Damn..i literally have no idea what i am getting myself into..and trust me i really want to learn all about ai and how to programme ai and this video gives me hope..you make it so much easier to understand..thank you. And yes i know this is not even scratching the surface but atleast i dont feel as lost as i did 20 minutes ago.
3593,"""Punishments and rewards is the lowest form of education"" - Zhuangzhi"
3594,Those animation effects are satisfying. Great explanation
3595,"Why doesn't ReLU function saturate after reaching value 1 if it is intended to limit the output to [0, 1]?"
3596,3B1B can u plz tell me which software u use for video editing
3597,Thanks ... now I understand Andrew ng lectures a little better
3598,Thank you very much! This is much more clear than my professor's lecture. Especially the part of explaining why does it make sense for the middle layers.
3599,awesome video. This really helps me to get some insight of neural network before I dig into my course
3600,"Maths Input Panel on our windows computers can detect what equations you're writing. how complex must that be? and it just blows me away that, it's just some small thing microsoft just put on the computer that barely anybody is gonna use."
3601,"After jus 35 seconds watching, I can give thum up!"
3602,let me take a bow sir
3603,This is so damn well explained!
3604,where is chapter2
3605,A mind blowing video. Good job and thanks a lot for making me understand so clearly!!
3606,This is the most wonderful explanation of neural networks I have come across! Thank you so much!
3607,this is purely awesome
3608,This is a fantastic video! Thank you!
3609,Awesome!!!
3610,The best youtube clip I saw this year!
3611,Your videos are so damn good. Thank you very much.
3612,how does ReLu map the input to a value between 0 and 1
3613,brilliant.. bravo my man
3614,I watched this in 2x speed and understood the whole thing.
3615,"It took me forever to get past 14:45 because of that typo.. I was like ""WHYYY is it + Bias(subscript-N)...??"" Then I realized, oh it's probably a typo and checked the description lol. This video was fantastic"
3616,"I've been looking for a such video for 1 year now, this is one of the best videos i saw on deep learning, very simple and intuitive."
3617,Neural networks (Deep learning) are (is) not science. They are (it is) populism.
3618,"Well done! This is the best introduction to neural networks I have found on YouTube. Some baby their viewers by brushing over the math entirely, and some try to delve too deep into the math for an introduction to this concept, which only obscures the underlying concepts. This video strikes the perfect balance. Also, the animations are really intuitive and well executed."
3619,When you can't discern any colors at 9:43 cuz Red Greed Deficiency 🙃
3620,awesome dude!!!
3621,I will make a neural network that rates garlic bread from 1 to 10
3622,Please do a series on statistics.
3623,I can never understand some thing without you. Great great great!!
3624,Amazing explanation 3b1b
3625,nice video..comendable..keep it on
3626,"Thankyou so much for every single time.
This single video taught me more than I learned for a month for 4hours every day on Korea's best University's seminar. 

+ and your voice is better"
3627,I think of myself as one of the best teachers I've ever known (I had 12 years of university and have had a few 100 professors...) and have won awards for my teaching ability... but I don't think I could have made a better video.  I was watching this from the perspective of someone already in the know but looking for instructional materials to show friends / family.  But this video was absolutely superb.  I think the level of detail management and allocation of time was... optimal!  Thank you!
3628,"I'm taking linear algebra right now, and this is really cool to see."
3629,"Çok güzel anlatıyor, öğrendim ama ne donanımım var ne internetim. İmkan olmayınca AI çok zor..."
3630,"After watching so many videos I came across this channel. And Now, I am not going anywhere!"
3631,Very nice...
3632,"Ive been following you since the beginning and Ive been wondering why your channel doesn't has so many subscribers. But even now, you deserve much more. Im a computer science and math student and I find those videos very exact, precise and good in quality. You do these videos without ""dumbing"" down for the major publicity."
3633,"Thank you so much! This is great. Cold you suggest any books geared towards developing programs of this nature? I'm studying network analysis  and have moderate quantitative skills, but very poor skills in programming which I would like to improve. It looks like you had an example of code in Python in the video. Is there a book that is a less generic introduction to python or coding that is geared towards network programs? I agree that understanding network algorithm architecture is VERY important, an that assuming a ""black box"" of the algorithm is not revealing."
3634,Awesome tutorial
3635,"But in keras, the outpul layer still always uses sigmoid as activation. Anyone knows why?"
3636,"Great video, really helped me grasp these concepts"
3637,"I subscribed, so that the neural networks of youtube's recommendation algorithm are primed to believe I want to see the next video"
3638,You can keep Mrs. Vocal Fry
3639,*BOLD*
3640,所以为什么最初是用S函数来训练？？？😂😂😂
3641,At 17:11. He's so happy.
3642,"I've been trying to understand neural networks for so long now and haven't figured it out, but this video is amazing and i actually get it now!! Thanks"
3643,Trying to get into data science / ML. thanks for the video! It helps a lot.
3644,I made the neural network that underlies youtube recommendation algerithm are primed to believe that I want to see content from this channel get recommended to me xD
3645,"Amazing just amazing !!!!!
Even Grant's voice is so soothing and inspiring , keep up the good work Sir !!! People like you change the world and inspire others to do so too."
3646,"I've read so many tutorials and articles and pseudocode about neural networks, but this explanation is by far the best."
3647,Thank you thank you! Please more videos of Machine Learning and Neural Networks. PLEASEE!
3648,"The awkward moment you realise you have created a deep learning like algorithm technology selection method for NASA/ESA, but they will never read or care about it :/

And it means I was not exaggerating when I said that I was ""over intellectualising"" the selection process."
3649,nicely done :)
3650,best explanation I've seen of how a NN works... by far. Here is my subscription!
3651,I really do love how you peel away layers of abstraction to get to the heart of how things work.
3652,σ <-- Sigma
3653,Wow thank you! It was very clear even for a not good english speaker like me and the illustrations are very helpful!
3654,This math is a fair bit over my head but one thing which abundantly clear to me is that any software implementation of this is going to be (comparatively speaking) a resource pig.
3655,"Wow, first video i watched on your channel and I must say I'm shocked with the quality of videos"
3656,Behind this material is an extreme shot of giftedness. Explaining something is not easy. You first need a solid physical model for the topic in your brain and then you need to translate this model into a mental model that can be faithfully exported into others' brains. I congratulate you for this excellent job and I hope that you appreciate what you are and what you are doing. This is much more important than how much money this business brings.
3657,This is the best thing I have seen so far. Great job!
3658,"Why is there annoying background music, it distracts me."
3659,The best video on Neural network for beginners . Amazing animations at every stage to make us understand . thanks a lot.
3660,"You have no idea of how much I love this video, thank you for doing this. Your series will be very useful in my life"
3661,"Cant wait to see the videos you release for generative models! 
I've seen your probability videos and they were so great!

Personally, I want to say thank you for making all these videos. It really solidifies everything I've learned. The way you use visuals to describe certain concepts is amazing!
Keep it up!"
3662,"I want to ask you a question;

Since now we can ""simulate"" really basic sense (image recognition -- sound recognition and even more)

At what point are we stuck in making some real badass A.I ?
If your scheme is precise enought, it's not hard to think of a way to link together multiple algorithm; multiple possible output ""data base"" and stuff?"
3663,"What would happen, if there was a ""none of the above"" output?"
3664,She has to do something about her growling. Its brutal. Great content but the growling is just brutal.
3665,"So doesn't using reLU mean the activations of a neuron won't necessarily be less than one?  Because ReLU(a)=max(0,a) doesn't it?  So a>0 would have ReLU(a)=a>0."
3666,"Very clear video explanation, looking forward to the others.
I'm concerned that you have placed your assumption of how the problem is solved as being relevant. When we learn numbers, nobody assigns a set of criteria used to identify the definition of number shapes. No parent says, ""Now Tommy, it has a vertical and a horizontal line, so it could be a 1 or a 7. No Tommy, that's a T, or is it an L?"".
Surely the point is fuzzy self learning, otherwise we'd write algorithms to attempt this?
The exact same physical/software NN might be used to understand any number of problems and the point is, it is a black box, we don't need to know what is happening (how the values are assigned), and often the data is so subtle, it's difficult to understand anyway! We just give it a method so that it is able to balance itself to give the output that we require.
This is proved to an extent by training with the handwriting of a single individual. It would limit the ability to accurately 'understand' another person's handwriting.
Admittedly we may need larger/more hidden rows to improve accuracy, but given plenty of samples (and time ;) ) the NN should provide the answers without anyone understanding or caring about its weights & biases, other than from an academic POV. We can set all values to random numbers and then watch it move toward a required output as training progresses, their is no deep understanding required.
We can apply NN to problems that we don't understand, and have the NN succeed without formal training. e.g. spotting cancerous cells within a sample of cells, we just tell it which images have a 'bad' cell somewhere, we don't need to identify the cell. Or self-learning to play video games, where the score is a measure of 'goodness'. I see this, I try that and the effect was either good, or not, so adjust weights as required. Jointed robots can learn to move using NN, creating their own gait from scratch, usually they just twitch for a very long time! They tend to produce nothing that you or I would think of, and yet they move!"
3667,This is very very good. I am very happy. Thanks man.
3668,Awesome. Next Probability and Stats and I am all set for deep learning... :D
3669,teach your neural network to neural networks to create neural networks.
3670,i can´t believe how happy i felt when i read the title of this video. i was literally with the mouth open for a while
3671,First time in my life that I suscribe to a channel after they ask for it. I just loved this video sooooo much. Thank you!
3672,Amazing video.  Best video introducing this topic.
3673,You are amazing.
3674,"Wow, what an incredible explanation of the structure of a NN!  Thanks and subscribed."
3675,Such amazing video! Thank you for sharing that!
3676,"Holy shit thats some mad video editing skills you got there!

Awesome presentation / video!"
3677,"But how do you know there should be 13000 neurons total? Why not 100, or 1000 per hidden layer?"
3678,Awesome video. Had a hard time trying to visualise this for a long time. Thank you!
3679,Thank you very much ! I have understood how it works !
3680,exspearmint
3681,"You...
You...
You saved.... my life!

Thank you 3b1b"
3682,What software does he use for animation?
3683,"Oh, I think I know which online book you used as reference"
3684,"@8:56, See that buzz in that square? My mind's that mad to appreciate and admire this guy..."
3685,You just summed up 2 weeks of my degree in less than 20 minutes. I really wish I had you as a lecturer. Thank you for this video!
3686,"Could you please make a video on averages? Arithmetic, geometric and harmonic average."
3687,Awesome ! continue like that you do a great job
3688,"OMG! It is too clear, understandable and intuitively explained!!!!! I love it!! Thank you so much!!"
3689,"My god, i'm so glad i found this video. I've been struggling to understand neural networks for a while now and finally i found something that's going to help me. Thank You <3"
3690,Porque el título está en español y el vídeo en ingles
3691,This is such a cool explanation!
3692,"The thumbsup is for your video, not for that horribly creaky vocal fry your guest contributed."
3693,"Just to make sure. The bias vector should be [b0, b1, ... bk] instead of [b0, b1, ... bn] right? Since there will be k neurons in the second layer."
3694,My genius mind works this precisely.
3695,"A ""like"" doesn't do this video justice. Absolutely fabulous stuff. Please keep up this great work!"
3696,"Having been following the cryptocurrency world of late and how it manages data, it occurs to me that each filtering layer in this neural network is actually a hash result in a _'decision making block chain.'_  As a block of unknown geometry is sent from the visual cortex to the neural network, it sets off a series of hashing iterations until the 'key' – a probability vector – is discovered, from which a verification is needed to raise (or lower) confidence in the outcome.

Fascinating..."
3697,"Hello Grant, I have a question for you. How to use math and AI to win games? In particular tower defence games like Bloons TD?"
3698,"how do u select how many layers and neurons should be in hidden and input layers?
edit: I think input layer must have 786 neurons..."
3699,Nice and simple explanation thank you
3700,"Can you give us an interpretation of group theory?? All I know is the symmetry of n-polygon, but it's application includes variety of fields. How to visualise the core of group theory the abstraction that is there and appreciate it's foundation??"
3701,"The best animation ever.  
No surprise when I hear you got the Nobel Prize in Neural Network Animation.
Cool. very cool .
Thanks
J.N"
3702,So would the resolution of the system improve when adding more hidden layers? Also would you say each hidden node describes a subcomponent of a subcomponent?
3703,"If you want experiment on your own here's a link to the jpeg files. It took me a while to find. It saves as a .eggfile type. Download ALZip to open it. ALZip is a .exe file so I was wary at first but it's legit.  

https://www.amazon.com/clouddrive/share/S4KGsmQIRtfINLbZ9O3nF5QNh5Xk4ZG702sWKKhybDf/vrPxVZfLSIe6yEi-YJGsqQ?_encoding=UTF8&mgh=1&ref_=cd_ph_share_link_copy

http://www.altools.com/downloads/alzip.aspx"
3704,Really cool. I appreciate your work quite a bit. Thank you.
3705,I subscribed so that the neural networks that underlie youtube's recommendation algorithm are primed to believe that I want to see content from this channel recommended to me
3706,"Awesome video! As someone who's just starting learning neural networks, I don't have much trouble understanding this video and it helped me understand what weight and bias are! Thank you so much!"
3707,an excellent explanation of neural networks
3708,Absurdly great video! Thank you very much I'm eager to see the next one!
3709,i like the squishifier :)
3710,"just write a neural network to write better neural networks, duh!"
3711,"Great video, I was thinking that understanding deep learning without a master's degree is impossible before this video :)"
3712,"So helpful, thank you!"
3713,just found this channel thanks for your service to us!!!!!! great videos
3714,"""Squishy fication function"" Definitely gonna use that term from now on"
3715,"You are incredible! Btw, what software you use to edit the video?"
3716,Best explanation I have seen of a neural network. Thanks for doing all the work to present it this way for me. :)
3717,Just started watching the introduction and it is already awesome
3718,your video quality is getting higher and higher 0.0
3719,16:35 that's actually very smart advertising
3720,Amo esta tecnologia de las rnas
3721,"Can it works backwards? For example, if give a number to it, can it return me a drawing of the number?"
3722,"A very good explanation, the video is great.
Had I seen the video before I needed months to teach me the topic I would have understood it directly."
3723,The animated use of Pi has been great
3724,"I wonder how the tool in Inkscape works, which converts raster images into vector images. It doesn't seem to attempt to create line art. It only seems to be interested in contiguous blobs of color. I guess it's a very complicated problem, because it also has to decide the color palette of the resulting vector image, usually by quantizing the colors in the source image somehow. I wonder if you could create a neural network trained for the purpose of accurately quantizing colors from an image, to match the original colors that were used. Like in a drawing done in a painting program with brush tools with fuzzy edges, which will intersect shapes drawn in other colors, making areas that are a combination of both colors. You might want only the colors that were originally used to draw those shapes. Once you have a list of original colors, you could hand that information to another neural network to use in defining the shapes and lines drawn in the source image, to be recreated in the output vector drawing."
3725,"You had me by the balls at, ""download the code that does this and play with it on your own computer"".

Gives it to meee!"
3726,"Thank you. This video is amazing, I think learning neural network is nice but boring, but this video have an amazing animation that help me to understand."
3727,15:08 Ewww Python
3728,Dude! U good.
3729,This is Vsauce but on a much higher level hahaha. i feel like only higher educated people will appreciate this
3730,This video and the book really inspired me...never had more votivation to learn something in my life
3731,"A really nicely made video, but I have to say that using green and red wasn't the best choice for us colorblind people lol. At that point I was thinking ""ok, a grid with more lit or dimmed brown squares to show a possible outcome in a picture, so to make it easy to picture for us, neat"" ""now here's some green and red you can't distinguish to show you.."" ""fuck, my learning is impaired by my dumb eyes"""
3732,"12:30 Another fun thing is to think of the entire network as one single point in 13,002-dimensional parameter space. :D
Combine that with how weird volume behaves in higher dimensions (see 3b1b's other videos) and you get the so-called ~~~Curse of Dimensionality~~~. To learn means to move through this space to find regions where it gives better results."
3733,Amazing. Such a superb intro to DNN I haven't seen anywhere. Thank you very much for all the hard work you have put in to create such a beautiful video..
3734,Now how do I make one that learns arbitrarily from data given? I have a few tiny computers and 1 regular personal computer. I doubt I can make anything THAT cool but it would be fun
3735,What an awesome video!!!
3736,"Thank you, that was amazing"
3737,"I saw a video about neural networks, with a black/gray/white color value index of -1 to 1, instead of your 0 to 1. As well as the Sigmoid function ranging from negative Y to positive Y, as the x and Y collide at 0.

I'm very new to artifical neural networks (became interested of it today) and just curious if there's some reasoning to the slight differences, if one of the videos is wrong or if it's just up to preference as to what array limits you use, or maybe I'm just entirely lost and these things have nothing to do with each other.."
3738,"Oh boy, you teach like God!"
3739,"Plxxx, can has subtitles? Not these auto generated ones..."
3740,"Thank you +3Blue1Brown! This is a really great introduction. I don't know if you're going to talk about this later, but I am wondering how a neural network handles translation and/or rotation of digits. Right now it seems to be that the neurons are tied to specific pixels, so that shifts may pose a problem... For example, will the same digit, shifted to the right, still be recognized?"
3741,This video lets you know exactly which role do linear algebra and logistic regression have in deep learning! great job !
3742,Can u explain how it works on credit card fraud detection
3743,"I'm going to start a band called ""sigmoid squishification""."
3744,"render your videos in 1440p or 2160p please :) 

I feel like if you gave your [awesome] vector based animations a bit more render time at a higher resolution some people would be happier"
3745,Graphics are just smooth and perfect. Thank you ... eye candy
3746,"I've not succeeded yet to make a perceptron decide on a ""connected"" property, such as: is this figure a loop or is it open?"
3747,NICE!
3748,О ЭТО БОЖЕСТВЕННО СПАСИБО
3749,"Thank you for finally making a video that assumes that we will be able to understand at least some math. I have been looking for a video to explain this concept, but all of the videos just say ""they're connected"" basically and don't explain what is actually happening."
3750,Could someone please clearly explain to me 8:53 to 10:15? (the bits in particular I don't understand are weights and the weighted sum). Thanks
